Frame,Resolution,Objects,Time
0,384x640,"16 persons,",268.4
0,384x640,"16 persons,",258.8
0,384x640,"18 persons,",414.9
0,384x640,"19 persons,",419.6
0,384x640,"17 persons,",439.5
0,384x640,"23 persons, 1 traffic light,",434.2
0,384x640,"22 persons,",402.1
0,384x640,"19 persons,",430.2
0,384x640,"19 persons,",427.5
0,384x640,"20 persons,",420.1
0,384x640,"17 persons,",417.0
0,384x640,"16 persons,",413.3
0,384x640,"14 persons,",414.7
0,384x640,"17 persons,",422.6
0,384x640,"16 persons,",416.4
0,384x640,"15 persons,",435.1
0,384x640,"15 persons,",427.2
0,384x640,"12 persons,",443.2
0,384x640,"14 persons,",419.6
0,384x640,"16 persons,",409.4
0,384x640,"12 persons,",275.9
0,384x640,"14 persons,",279.4
0,384x640,"15 persons,",269.4
0,384x640,"14 persons,",275.3
0,384x640,"13 persons,",272.8
0,384x640,"12 persons, 1 umbrella,",273.8
0,384x640,"15 persons,",269.1
0,384x640,"16 persons,",274.0
0,384x640,"17 persons,",285.6
0,384x640,"16 persons,",260.0
0,384x640,"14 persons,",285.9
0,384x640,"18 persons,",264.6
0,384x640,"17 persons,",276.3
0,384x640,"12 persons,",270.5
0,384x640,"16 persons,",268.7
0,384x640,"11 persons,",283.2
0,384x640,"13 persons,",274.1
0,384x640,"12 persons,",268.6
0,384x640,"9 persons,",276.4
0,384x640,"10 persons,",287.8
0,384x640,"10 persons,",268.2
0,384x640,"11 persons, 1 handbag,",264.4
0,384x640,"11 persons,",274.7
0,384x640,"9 persons,",277.5
0,384x640,"10 persons,",263.1
0,384x640,"10 persons,",279.4
0,384x640,"15 persons,",275.7
0,384x640,"18 persons,",272.2
0,384x640,"12 persons,",276.1
0,384x640,"15 persons,",270.0
0,384x640,"15 persons,",265.7
0,384x640,"15 persons,",267.9
0,384x640,"15 persons,",260.1
0,384x640,"15 persons,",273.6
0,384x640,"15 persons,",400.4
0,384x640,"15 persons,",433.3
0,384x640,"20 persons,",482.6
0,384x640,"13 persons,",419.0
0,384x640,"16 persons,",434.9
0,384x640,"22 persons,",448.7
0,384x640,"19 persons,",463.0
0,384x640,"14 persons,",413.0
0,384x640,"15 persons,",420.0
0,384x640,"16 persons,",420.7
0,384x640,"17 persons,",429.8
0,384x640,"14 persons,",425.8
0,384x640,"19 persons,",426.7
0,384x640,"22 persons,",443.3
0,384x640,"16 persons,",442.1
0,384x640,"20 persons,",446.1
0,384x640,"18 persons,",410.6
0,384x640,"17 persons, 1 bicycle,",353.0
0,384x640,"17 persons, 1 bicycle,",267.9
0,384x640,"17 persons, 1 bicycle, 1 bench, 1 umbrella,",278.3
0,384x640,"20 persons,",268.6
0,384x640,"21 persons,",283.6
0,384x640,"20 persons,",268.3
0,384x640,"16 persons,",258.7
0,384x640,"19 persons,",286.8
0,384x640,"17 persons, 2 benchs,",271.9
0,384x640,"17 persons, 2 benchs,",272.0
0,384x640,"23 persons,",272.5
0,384x640,"20 persons,",279.9
0,384x640,"19 persons,",276.0
0,384x640,"16 persons,",271.9
0,384x640,"19 persons,",276.1
0,384x640,"19 persons,",276.6
0,384x640,"16 persons,",268.1
0,384x640,"12 persons,",284.3
0,384x640,"13 persons,",271.6
0,384x640,"14 persons,",266.9
0,384x640,"13 persons,",278.9
0,384x640,"12 persons,",279.8
0,384x640,"13 persons,",263.1
0,384x640,"18 persons,",267.0
0,384x640,"17 persons,",278.8
0,384x640,"18 persons,",265.7
0,384x640,"14 persons,",277.5
0,384x640,"16 persons,",275.8
0,384x640,"13 persons,",286.3
0,384x640,"19 persons,",263.7
0,384x640,"15 persons,",277.0
0,384x640,"19 persons,",275.5
0,384x640,"19 persons,",271.4
0,384x640,"15 persons,",258.5
0,384x640,"15 persons,",407.6
0,384x640,"15 persons,",426.0
0,384x640,"17 persons,",432.8
0,384x640,"17 persons,",438.8
0,384x640,"19 persons, 1 potted plant,",413.7
0,384x640,"19 persons, 1 horse,",449.8
0,384x640,"16 persons,",457.8
0,384x640,"17 persons,",417.7
0,384x640,"17 persons,",409.0
0,384x640,"17 persons,",431.4
0,384x640,"16 persons,",414.5
0,384x640,"20 persons,",428.5
0,384x640,"23 persons,",408.5
0,384x640,"20 persons,",424.4
0,384x640,"15 persons,",423.4
0,384x640,"16 persons,",448.7
0,384x640,"17 persons,",416.2
0,384x640,"17 persons,",399.4
0,384x640,"17 persons,",285.1
0,384x640,"17 persons,",273.6
0,384x640,"17 persons,",269.0
0,384x640,"17 persons,",283.5
0,384x640,"15 persons,",270.4
0,384x640,"13 persons, 1 potted plant,",279.4
0,384x640,"12 persons,",283.8
0,384x640,"15 persons, 1 potted plant,",266.4
0,384x640,"14 persons, 1 potted plant,",283.2
0,384x640,"13 persons,",282.3
0,384x640,"16 persons, 1 skateboard, 1 potted plant,",270.3
0,384x640,"12 persons, 1 potted plant,",270.9
0,384x640,"13 persons, 2 potted plants,",272.4
0,384x640,"13 persons, 2 potted plants,",279.4
0,384x640,"12 persons, 2 potted plants,",262.7
0,384x640,"12 persons, 2 potted plants,",271.4
0,384x640,"11 persons, 1 potted plant,",267.7
0,384x640,"14 persons, 1 skateboard, 1 potted plant,",260.7
0,384x640,"16 persons, 1 potted plant,",261.0
0,384x640,"16 persons, 1 potted plant,",277.4
0,384x640,"17 persons, 1 potted plant,",277.9
0,384x640,"19 persons, 1 bench, 1 potted plant,",257.2
0,384x640,"19 persons, 1 bench, 1 potted plant,",284.0
0,384x640,"18 persons, 1 bench, 1 potted plant,",266.6
0,384x640,"21 persons, 1 bench, 1 potted plant,",274.1
0,384x640,"17 persons, 1 potted plant,",283.4
0,384x640,"16 persons, 1 potted plant,",278.2
0,384x640,"19 persons,",279.9
0,384x640,"17 persons, 1 bench,",273.8
0,384x640,"19 persons, 1 bench, 2 potted plants,",288.6
0,384x640,"21 persons, 2 potted plants,",267.3
0,384x640,"14 persons,",269.8
0,384x640,"18 persons,",281.1
0,384x640,"17 persons,",278.9
0,384x640,"19 persons, 2 potted plants,",415.2
0,384x640,"18 persons, 1 potted plant,",453.1
0,384x640,"18 persons, 1 potted plant,",445.0
0,384x640,"17 persons, 1 potted plant,",415.4
0,384x640,"15 persons, 2 potted plants,",413.0
0,384x640,"22 persons, 2 potted plants,",461.2
0,384x640,"21 persons, 2 potted plants,",432.7
0,384x640,"18 persons, 2 potted plants,",410.4
0,384x640,"22 persons, 2 potted plants,",409.4
0,384x640,"23 persons, 2 potted plants,",411.2
0,384x640,"20 persons, 2 potted plants,",430.3
0,384x640,"17 persons, 2 potted plants,",394.0
0,384x640,"20 persons, 2 potted plants,",447.2
0,384x640,"18 persons, 2 potted plants,",410.5
0,384x640,"15 persons, 1 potted plant,",436.3
0,384x640,"14 persons, 2 potted plants,",419.7
0,384x640,"16 persons, 2 potted plants,",413.9
0,384x640,"14 persons, 2 potted plants,",402.7
0,384x640,"19 persons,",275.3
0,384x640,"15 persons, 1 handbag, 2 potted plants,",269.6
0,384x640,"14 persons, 2 potted plants,",282.0
0,384x640,"11 persons, 2 potted plants,",273.3
0,384x640,"12 persons, 2 potted plants,",271.2
0,384x640,"12 persons, 2 potted plants,",287.2
0,384x640,"12 persons, 2 potted plants,",278.1
0,384x640,"14 persons, 2 potted plants,",272.1
0,384x640,"15 persons, 2 potted plants,",283.8
0,384x640,"16 persons, 2 potted plants,",273.7
0,384x640,"14 persons, 2 potted plants,",267.7
0,384x640,"16 persons, 2 potted plants,",267.6
0,384x640,"20 persons, 2 potted plants,",280.1
0,384x640,"19 persons, 2 potted plants,",282.8
0,384x640,"18 persons, 2 potted plants,",268.7
0,384x640,"17 persons, 2 potted plants,",279.3
0,384x640,"15 persons, 1 potted plant,",269.9
0,384x640,"16 persons, 1 motorcycle, 1 handbag,",259.9
0,384x640,"18 persons,",274.9
0,384x640,"20 persons, 1 potted plant,",283.5
0,384x640,"18 persons, 2 potted plants,",271.2
0,384x640,"22 persons, 2 potted plants,",278.2
0,384x640,"15 persons, 2 potted plants,",281.3
0,384x640,"14 persons, 2 potted plants,",263.3
0,384x640,"17 persons, 2 potted plants,",263.2
0,384x640,"15 persons, 2 potted plants,",269.0
